"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT08","WT09","WT13","WT14","WT16","WT18","WT22"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-03","16.33","0.00","0.0","0.0","66","46",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-04","14.54","0.00","0.0","0.0","66","47",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-05","12.75","0.00","0.0","0.0","71","48",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-06","11.41","0.00","0.0","0.0","75","46",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-07","2.91","0.00","0.0","0.0","75","46",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-08","4.25","0.00","0.0","0.0","70","46",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-09","3.58","0.00","0.0","0.0","61","48",,,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-10","3.13","0.00","0.0","0.0","54","47",,"    1",,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-11","2.91","0.00","0.0","0.0","57","45","    1",,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-12","10.29","0.08","0.0","0.0","57","48","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-13","8.72","0.19","0.0","0.0","60","54","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-14","7.61","0.65","0.0","0.0","64","56","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-15","10.29","0.31","0.0","0.0","63","52","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-16","12.30","0.00","0.0","0.0","61","47",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-17","3.58","0.00","0.0","0.0","58","43",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-18","4.47","0.82","0.0","0.0","64","44","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-19","11.86","0.19","0.0","0.0","59","49","    1",,,,,,,"    1","    1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-20","12.75","0.02","0.0","0.0","52","43",,,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-21","6.04","0.25","0.0","0.0","53","40","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-22","5.82","0.35","0.0","0.0","46","38","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-23","6.71","0.00","0.0","0.0","52","42",,,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-24","4.70","0.28","0.0","0.0","53","43","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-25","3.36","0.00","0.0","0.0","53","44",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-26","5.59","0.06","0.0","0.0","52","45","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-27","11.41","0.91","0.0","0.0","58","49",,,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-28","8.50","0.24","0.0","0.0","58","50","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-29","10.96","0.43","0.0","0.0","60","50","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-30","6.26","1.36","0.0","0.0","59","54","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-31","6.04","0.57","0.0","0.0","60","52","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-01","6.71","0.38","0.0","0.0","59","51","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-02","2.24","0.22","0.0","0.0","59","51","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-03","8.05","0.02","0.0","0.0","60","52","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-04","8.50","0.32","0.0","0.0","64","55","    1",,,,,,,"    1","    1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-05","8.95","0.03","0.0","0.0","59","46","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-06","7.83","0.01","0.0","0.0","55","44","    1","    1",,,,"    1",,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-07","7.61","0.00","0.0","0.0","54","39",,,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-08","7.61","0.00","0.0","0.0","50","34",,,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-09","4.47","0.00","0.0","0.0","48","34","    1",,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-10","4.92","0.00","0.0","0.0","46","31",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-11","6.71","0.60","0.0","0.0","48","34","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-12","6.71","0.14","0.0","0.0","55","43","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-13","5.59","0.21","0.0","0.0","52","46","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-14","5.82","0.03","0.0","0.0","52","41","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-15","5.37","0.00","0.0","0.0","49","37","    1","    1",,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-16","3.58","0.22","0.0","0.0","49","36",,"    1",,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-17","11.86","0.24","0.0","0.0","54","43","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-18","10.96","0.31","0.0","0.0","50","43",,,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-19","13.42","2.13","0.0","0.0","56","47","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-20","9.40","0.15","0.0","0.0","52","45","    1",,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-21","12.30","0.44","0.0","0.0","47","39","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-22","3.36","0.00","0.0","0.0","48","37",,,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-23","5.37","1.26","0.0","0.0","49","43","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-24","2.68","0.00","0.0","0.0","48","39",,,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-25","8.05","0.00","0.0","0.0","47","34","    1","    1",,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-26","8.50","0.00","0.0","0.0","49","35","    1",,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-27","3.36","0.00","0.0","0.0","50","35",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-28","6.49","0.11","0.0","0.0","49","36","    1",,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-29","9.40","0.06","0.0","0.0","55","46",,,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-30","10.29","1.40","0.0","0.0","59","46","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-01","12.30","0.16","0.0","0.0","56","47",,,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-02","13.87","0.77","0.0","0.0","47","45","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-03","9.84","0.51","0.0","0.0","49","45","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-04","13.87","0.56","0.0","0.0","53","45","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-05","11.18","0.06","0.0","0.0","48","40",,,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-06","11.41","0.06","0.0","0.0","45","43","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-07","10.29","0.04","0.0","0.0","46","38",,,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-08","4.47","0.00","0.0","0.0","44","38",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-09","4.70","0.06","0.0","0.0","44","37","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-10","4.03","0.02","0.0","0.0","45","42","    1","    1",,,,,,,"    1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-11","10.07","0.12","0.0","0.0","46","42","    1",,,,,,,"    1","    1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-12","4.47","0.32","0.0","0.0","44","40","    1",,,,,,,"    1","    1","    1",,
